-5.199999999999985079e+00,1.000000000000000000e+00
-5.099999999999978328e+00,1.000000000000000000e+00
-5.199999999999974420e+00,9.982015291843061577e-01
-5.099999999999971223e+00,9.952112627234414033e-01
-5.199999999999979750e+00,9.926269452909027846e-01
-5.199999999999983302e+00,9.900493386913721272e-01
-5.099999999999974776e+00,9.870834933730330274e-01
-5.199999999999985079e+00,9.845202817466749412e-01
-5.099999999999971223e+00,9.815709995702052160e-01
-5.199999999999981526e+00,9.790221025264537191e-01
-5.299999999999966960e+00,9.756013439465449633e-01
-5.199999999999985079e+00,9.730679486215463303e-01
-5.099999999999972999e+00,9.701529736732675824e-01
-5.199999999999979750e+00,9.676337264179339925e-01
-5.099999999999972999e+00,9.647350305194478670e-01
-5.099999999999971223e+00,9.618450181110907993e-01
-5.199999999999986855e+00,9.593473445609517203e-01
-5.099999999999978328e+00,9.564734717958954802e-01
-5.199999999999977973e+00,9.539897468226080646e-01
-5.299999999999979394e+00,9.506564527088519068e-01
-5.099999999999971223e+00,9.478086148492336216e-01
-5.299999999999972289e+00,9.444969179600718467e-01
-5.199999999999983302e+00,9.420442931340785586e-01
-5.199999999999981526e+00,9.395980371679756304e-01
-5.099999999999971223e+00,9.367833264957394768e-01
-5.199999999999977973e+00,9.343507319584248849e-01
-5.199999999999990408e+00,9.319244542672967535e-01
-5.099999999999971223e+00,9.291327309948104185e-01
-5.099999999999976552e+00,9.263493707594722126e-01
-5.099999999999974776e+00,9.235743485085159410e-01
-5.199999999999985079e+00,9.211760544191136546e-01
-5.099999999999971223e+00,9.184165296342416962e-01
-5.299999999999966960e+00,9.152075303526432393e-01
-5.199999999999976197e+00,9.128309628200282910e-01
-5.199999999999988631e+00,9.104605666453292612e-01
-5.099999999999971223e+00,9.077331417548822889e-01
-5.099999999999974776e+00,9.050138872858745076e-01
-5.099999999999974776e+00,9.023027787625492735e-01
-5.099999999999971223e+00,8.995997917824719581e-01
-5.199999999999981526e+00,8.972637536855460061e-01
-5.199999999999981526e+00,8.949337817016185248e-01
-5.199999999999985079e+00,8.926098600784946324e-01
-5.099999999999976552e+00,8.899359097295995724e-01
-5.099999999999976552e+00,8.872699696109161982e-01
-5.099999999999976552e+00,8.846120157265656703e-01
-5.199999999999983302e+00,8.823148971760583770e-01
-5.099999999999981881e+00,8.796717869745515062e-01
-5.099999999999972999e+00,8.770365946168436899e-01
-5.199999999999983302e+00,8.747591475607880973e-01
-5.099999999999971223e+00,8.721386717712715786e-01
-5.199999999999985079e+00,8.698739434090925204e-01
